whereas,"while, but"
photosensitive,sun-sensitive
physical examination,"check-up, doctor’s appointment"
physical therapist,someone who treats pain and weakness by exercise
physical therapy,treatment of pain and weakness through exercise
physician,doctor
pending,"coming, until, waiting on something or someone"
perforation,hole
perform,"do, carry out, act"
pericarditis,"heart inflammation, swelling of the tissue covering the heart"
perinatal death,"death before birth, stillborn"
periphery,"edge, boundary"
peritoneum,"lining of your stomach, belly, tummy"
permanent,"lasting, long term, forever"
permit,"allow, let"
persevere,"hold on, keep at, last, keep trying, not give up"
persistent,"there all the time, constant, doesn’t go away, not giving up"
palatable,"pleasing, tasty, good"
pandemic flu,"pandemic flu, deadly flu, fast and wide-spread flu"
pandemic vaccine,pandemic flu vaccine
panzootic,"a flu pandemic in animals, a deadly flu pandemic in animals, fast and wide-spread flu in animals"
papule,"small red dot on your skin, skin rash"
paralysis,can’t move
parameter,"limit, factor, value"
parasite,animal or plant living off another animal or plant
participate,"take part, join, share"
passive immunity,disease protection from either mother or vaccine
pathogen,"germ, virus, disease-causing agent"
pathogenic,disease causing
peak flow meter,"small tool used to measure how fast you can blow out air"
peak flow,the fastest you can blow out air
orthopedic surgeon,bones and joint doctor
orthopedics,bones and joint doctor’s office
osteonecrosis,bone death
osteoporosis,"osteoporosis, brittle bones"
otitis media,middle ear infection
outbreak,"when a large number of people suddenly get sick; sudden increase in number of sicknesses"
ova/ovum,"egg/eggs, a woman’s egg/eggs"
overabundance,"too much, excess"
objective,"goal, end"
obscure,"hidden, unclear, blur, confuse"
observation,"close look, remark, watching, sighting"
observe,"look closely, watch, see, detect, find, notice, see"
obstruct,"block, stop"
obstruction,"barrier, block, hurdle"
obtain,get
obvious,"clear, plain, easy to see"
occasionally,"sometimes, not often, once in a while"
occupation,"job, work"
occupational therapist,"someone who helps people who are sick or injured relearn everyday activities"
occupational therapy,therapy that helps you relearn everyday activities
occur,"happen, take place, result"
occurrence,event
on an empty stomach,do not eat or drink
optic neuritis,"eye disease, disease of the eyes"
optimal,"best, best way"
option,"choice, way"
orchitis,side effect of mumps
originate,"start, begin, create"
nutrition,"food, meal, diet, healthy food"
nutritious,"wholesome, food that is good for you, healthy eating, healthy food"
nosocomial,an infection you can catch in the hospital
notification,notice
narcotic,"addictive pain medicine, drug"
nebulizer,machine that turns liquid asthma medicine into mist
negligent,"careless, lax, not careful"
neonatal death,"infant death, death in the first seven days of life"
neonatal,newborn
nephrology,study of kidney problems
neuraminidase,enzyme on the surface of the virus
neuritis,swelling of a nerve
neurologic,"relating to the nervous system, brain or spinal cord"
neurological,related to the brain and nervous system
neurology,study of the nervous system
neuropathy,disease of the nervous system
neutralize,"cancel, stop, offset"
nominal,"small, not important, token, cheap, not costly"
muscle contraction,"muscle twitch, movement"
mutagen,cause
mutation,change over time
mutation,change; difference; different
migrate,"move, travel"
migration,moving from one place to another
mild,"gentle, not severe, slight, small"
mildew,fungus that grow in damp warm areas
minimal,"least, small, smallest"
minimize,make smaller
miniscule,"very small, tiny"
mites,"very tiny, spider-like, animals that cause allergies and skin rashes"
mitigate,"make less harmful, soften, lessen, reduce"
mobility,ability to move
moderate,"medium, mild, controllable"
modify,change
molars,"back teeth, back “grinding” teeth"
mold,growth on food and damp surfaces
monitor,"watch, check on, watch for changes, device that measures changes"
morbidity,"diseased, sick, ill"
mortality rate,number of deaths
mortality,death
motor vehicle accident,car crash
MRSA,bacteria that is resistant to antibiotics
mucosal (mucus) membranes,"soft, moist areas just inside the openings to your body"
mucus,"fluid that coats and protects the inside of the nose, mouth, bronchial tubes and other parts of the body"
multiple sclerosis,central nervous system disease
macrophage,disease-fighting cell
macular,a discolored spot on your skin
magnitude,"extent, size, how serious"
maintain,"take care of, keep"
mammogram,test to check the health of the breast
malignant,cancer
manage,"control, direct, be in charge of, take care of, watch"
manifest,"clear, plain, evident"
maximum,"the largest possible, the most"
medication,"drug, pill, medicine"
medicine,drug
memory cell,"a cell that helps your body quickly fight diseases that you’ve gotten before"
menopause,"women’s “change of life”, the change, time in a woman's life when her periods stops"
mentality,"frame of mind, mind, outlook, feeling"
metabolism,"process of getting energy from food, converting food into energy"
mg,milligram
microbes,"very tiny fungi, sometimes viruses, that are too small too see; bacteria, protozoa"
lung function,measure of how strong your lungs are
lungs,breathing organs
lymphatic,related to the lymph system
lymphocytes,lymph cells
lacerate,"cut, tear"
laceration,"cut, tear"
ligament,"a strong band of tissue that holds your joints together"
live vaccine,a vaccine that has a weakened form of the virus in it
localized,"in a small area, only in one place"
locate,"find, place, settle, turn up"
location,"place, spot"
long-term,"for a long time, over a long period of time"
lower respiratory infection,pneumonia
jaundice,skin and eyes turn yellow
joint,"place where two bones come together (knee, elbow, etc.)"
irritable,"sensitive, complaining, grouchy, testy"
irritant,"bother; pain, pest, problem"
isolate,a specific type of virus; a specific type of flu
isolation of ill people,"staying away from people who are sick; keeping sick people at home"
inform,tell
infusion,put fluids or drugs directly into your blood
ingestion,"eating, drinking, swallowing"
inhalation,"breathing, breathing in"
inhale,breathe in; take a breath
inhaler,"breathing medicine/drug, asthma medicine"
inherent,"natural, built in, native"
inherit,"acquire, get, obtain, be left"
inheritance,"passing of traits (such as eye color) from parent to child"
inhibit,"check, bar, forbid, stop"
initial,"first, earliest, basic"
injection,"shot, to give medicine by needle, booster, dose"
inquire,ask
instrument,tool
insufficient,"not enough, too little, failing, poor"
integrate,"combine with, make part of"
intention,"goal, aim, desire, end"
internal organs,"inside parts of your body (heart, lungs, stomach, kidneys, etc.)"
interrupt,"stop, break"
intrauterine device,"IUD, birth control"
intravenous (IV),"into your vein; into your blood stream, putting drugs or fluids directly into your blood"
investigational vaccine,vaccine still being tested
irrefutable,"certain, final, obvious, proven"
incise,cut
incision,cut
incisors,"front teeth, front “biting” teeth"
inclement,"harsh, extreme, dangerous"
incorrect,"wrong, not true, false"
increase,"add to, raise"
incubation period,"the length of time a disease is in someone’s body before they feel or look sick"
indicate,"suggest, point to"
indication,"sign, signal"
indigenous,"local to, comes from, native"
individual,"person, you, man, woman"
inexpensive,"cheap, low cost, low priced"
infect,"disease spread by germ or virus, to get sick, to make someone sick, to spread a disease"
infection control,how to avoid sickness
infection,"illness caused by germs, a sickness you get from germs"
infectious agent,"virus, germs, something that makes you sick,
disease, flu, parasite"
infectious,something that can spread disease
inflame,"make hot, red, or swollen; swollen"
inflammation,"swelling, injury, sore"
Inflammatory Bowel Disease,"digestive system disease, intestinal problems"
influenza,flu
immunity,"the body’s ability to keep from getting a disease; protection from disease, ability to fight off an illness"
immunization,getting a vaccine (shot)
immunize,"to protect again disease, usually by a shot"
immunological,related to the immune system
immunosupression,when your body can’t fight disease
immunotherapy,"medical treatment that helps your body fight off diseases"
impede,"get in the way, slow"
imperative,"important, pressing, urgent"
imperceptible,"hard to see, hidden"
implement,"start, begin"
in excess of,more than
in the absence of,without
in the course of,"during, in"
in the event of,if
in vitro,"out of the body, outside the body, laboratory grown, in a test tube"
in vivo,"within the body, inside the body grown inside animal"
inaccuracy,"error, mistake, chance that there is a mistake"
inactive vaccine,a vaccine that uses germs that have been killed
inadvertently,without meaning to
inadvisable,"risky, not smart, may be dangerous"
inapparent infection,when you are sick but you don’t feel bad
incidence,how many people get sick
incidence,number of sick people
illustrate,"show, draw, picture"
immediately,"at once, right away"
immerse,"put completely in, completely cover"
immune globulin,something in your blood that helps fight disease
immune,when your body can protect itself from a disease;
homologous,"similar, like, alike"
hormone,"chemical, natural or manmade chemical that effects your growth, chemicals that help different parts of your body know how they should work"
host,person; animal
HPAI,a dangerous bird flu
HPV,a virus that can cause cervical cancer
humidify,to moisten air
hyperlipidemia,high cholesterol
hypertensive heart disease,high blood pressure
hypersensitivity,strong reaction
hypertension,high blood pressure
hyposensitivity,weak reaction
hypotension,low blood pressure
hazard,"hazard, harmful, danger"
hazardous waste,"harmful trash like used needles, bloody tissues, etc."
hematological,related to the blood and blood forming organs
hepatic,related to the liver
hysterectomy,surgery to remove the womb
hallucinate,see things that are not there
hand hygiene,hand washing
hazardous,"harmful, bad, dangerous, risky"
hematocrit test,"blood test, a test that counts your red blood cells"
hemodialysis,use of a machine to clean your blood
hemoglobin A1C,"a test to show your blood sugar levels over the last 3 months"
hepatitis A,"disease that you get from drinking bad water or eating bad food"
hepatitis B,"disease that you get from someone else’s blood or from unsafe sex"
hepatitis C,"liver disease that you get from someone else’s blood or unsafe sex"
hepatitis D,"virus that can only be found in your blood if you also have hepatitis B"
hepatitis E,"disease that you get from drinking bad water or from eating bad food, a disease not found in the United States"
herd immunity,"group protection from disease, community immunity"
herpes zoster,"shingles, a disease that causes painful sores on your skin"
highly,"very probably, mot likely, will probably happen"
hives,"rash; red, itchy swellings on your skin"
gamete,"sex cell, egg or sperm"
generation time,"time needed for disease to spread from one person to another"
genetics,"family traits, science or study of family traits or how traits (eye color, etc.) are passed from parent to child, study of blood relatives"
glaucoma,"eye disease, increased eye pressure; an eye disease that can lead to blindness"
glucose,"sugar, energy"
gradually,"slowly, over time"
Guillain-Barre Syndrome,GBS; a disease that makes it hard to move
febrile,"caused by a fever, feverish"
finalize,"complete, end, finish, settle"
flare,"a period of time when symptoms of a disease are
worse, when your disease hurts more than normal"
flexible,"moving easily, stretch easily, bend and stretch
without hurting"
fluctuate,"change, rise and fall, go back and forth from high to low"
fracture,break
frequently,"often, commonly, normally, regularly, many times"
fundamental,"basic, real"
facilitate,"make easier, help"
factor,"cause, reason"
failed to,did not
fallacy,"error, myth, not true"
fast,"go without any food or drink, not eat or drink anything"
fatigue,"tired, weak feeling of the whole body, feeling tired all over"
feasible,"possible, doable, workable, can be done, can do"
etiology,the cause of
evident,"plain to see, visible, seen"
exacerbate,"worsen, make worse"
excess rate,"how many people become seriously sick during a pandemic"
excessive,too much
exert,"work hard, push, struggle, exercise"
exertion,"effort, work"
exhale,breathe out
exhibit,"show, display"
expectorate,"spit, cough, spit out"
experience,"feel, have, go through"
expertise,"knowledge, skill, know-how, training"
exposure,"around, been around, contact, come in contact with
family history health information about your close relatives"
extend,make longer
electrolytes,"blood salts, a type of necessary salt found in blood"
elevate,"raise, lift, make higher"
eliminate,"stop, end, drop, get rid of"
emaciated,"very thin, starving"
embolism,blood clot
emphasize,"stress, point out, highlight"
emphysema,"a lung disease, Chronic Obstructive Pulmonary Disease (COPD)"
encephalitis,swelling of the brain
encephalopathy,brain dysfunction
endocrine,related to the hormone producing systems
enhance,"add to, improve"
environment,"all the things around you in your daily life, at home and at work"
environmental control,"removing harmful things from your home and work; doing something to improve the space you live in and the air you breathe"
epidemic,"disease that most people get, widespread sickness"
epidemiology,disease study
episode,"event, set amount of time, attack, brief time"
epizootic,widespread disease in animals
equilibrium,balance
equivalent of,equal to
erosions,"small pits, small holes in teeth or bones"
erythematosus,red rash on the face
escalate,"worsen, make worse, get worse, increase, grow"
ESR,a blood test
economical,"cheap, low cost, low priced"
effect,"make, result"
effective,"works well, good, strong"
efficacy rate,how well something works
EKG,"heart test, test of your heart"
discoloration,"change in color, not the color it normally is, odd color"
discontinue,"stop, end, quit"
discuss,"talk about, talk with"
disease,"illness, sickness"
disguise,hide
display,show
dissemination (disseminate),"spread, distribute, send out, make available"
distinguish,"tell apart, set apart"
distribute,"hand out, give, spread"
domicile,"home, house"
donate,to give
donation,"gift, present"
dose,"amount of medicine, chemical, or radiation; amount, size"
drowsy,sleepy
dust,"fine, dry earth, powdery dirt"
dwelling,"home, house"
dyspepsia,"indigestion, heartburn"
dermal,related to the skin
dermal,skin related
dermatologist,skin doctor
dermatology,skin doctor’s office
designate,"call, label, name"
detect,find
deteriorate,"get worse, fall apart, become unusable"
determine,"figure out, decide, find out, test"
detrimental,"bad, harmful, dangerous"
develop,"create, change, grow"
deviate,"stray, change, take a different path"
diabetes,elevated sugar in the blood
diagnose,"test, find out, figure out, learn cause"
diagnosis,"finding out the cause of an illness, condition,
disease, medical answer"
diarrhea diseases,diarrhea
difficulties,"problems, trouble"
dilate,"become wider, become larger, become bigger"
dilator,"something used to make something become larger,
wider, or bigger"
dilute,"weaken, make weaker, add liquid"
dimension,size
diminish,"make smaller, become less, take less"
diminutive,"small, tiny, very little"
disclose,"show, tell"
discoid,"shaped like a disk, round and flat"
dander,flakes of skin
deceased,dead
decompose,"decay, rot, break down"
decontaminate,"clean, kill germs, disinfect, purify, sterilize"
decrease,"take less, cut back, drop, lower, fall"
deficiency,"lack, not enough"
deficient,"lacking, not enough, poor"
deformity,"a change from the normal shape, not normal, not a normal shape, oddly shaped"
degenerative,"weaken, worsen, decline, decay, droop"
dehydrate,"need water, water loss, remove water"
deltoid,arm muscle
dementia,"memory loss that gets worse over time, Alzheimer’s"
demonstrate,"prove, show"
demyelinating disorder,nerve disease
deoxygenated,no oxygen
deplete,"empty, take all of, reduce, sap"
criterion,"sign, standard"
Crohn’s Disease,digestion disease
cure,"heal, fix, make better; make completely better"
currently,"now, at this moment, right now"
cushingoid,"signs of high doses of medicine, drug"
cutaneous,"skin related, about the skin"
cystitis,infection causing pain when you urinate
contaminant,"pollutant, poison, harmful ingredient, harmful chemical"
contaminate,"spoil, infect, dirty, poison, pollute, taint"
contemplate,"think about, consider"
continue to,"keep on, still, remain"
contraceptive,birth control
contract,"arrange, agree, make smaller and shorter"
contraindication,"dangerous to give, not good for, when a drug or procedure may be harmful"
contribute,"help, give"
control,"manage, have power over, take care of"
contusion,bruise
convenient,"easy to use, on hand, handy, useful"
convulsion,"seizure, spasm"
co-operate,"help, work together, assist"
COPD,"Chronic Obstructive Pulmonary Disease, emphysema, a lung disease that makes breathing hard"
coronary heart disease,heart disease
coronary thrombosis,heart attack
correspond,"agree with, match, write, email"
corroborate,"confirm, agree with"
corticosteroids,"asthma drug, asthma medicine"
cot death,"SIDS, sudden infant death syndrome"
cough etiquette,how to cough or sneeze
countermeasures,drugs to help fight sickness; flu shots; vaccines
crib death,"SIDS, sudden infant death syndrome"
conclude,"end, finish"
conclusive,"definite, final, last,"
concur,"agree, feel the same way"
condition,"a medical problem, a disease, an illness"
conditioning,"physical training, training your body, fitness"
conduct,"do, carry on, run"
congenital,"born with, inborn"
conjugate vaccine,a specific type of vaccine
conjunctivitis,"eye infection, pink eye, swelling and redness around your eyes"
conscientious,"careful, thoughtful"
consequently,"so, which means that, as a result"
consistent,stays the same
conspicuous,"plain to see, obvious"
constitute,"made of, form, make up"
construct,"make, build"
consult,"talk with, ask, talk to, see, meet"
consume,"eat, drink, use up"
contact,"talk to, call, write, talk with, get in touch with"
contagious disease,"an illness that spreads to others, a disease that you can give to other people, a disease that can make other people sick"
contagious,"catching, spreading, able to make others sick, spreadable, a disease that can be spread from one person to another; someone who is sick and might make you sick too; sick"
contain,"have, keep together"
cognizant,"aware, know about, think of"
colic,"stomach pain, sick, baby with upset tummy"
collaborate,"work together, team up, help each other"
comatose,in a coma
combination vaccine,"a vaccine that helps stop more than one type of disease"
commence,"start, begin"
communicable,"catching, can be spread, can be passed to other people, can make other people sick"
communicate,"tell, say, call, write, talk to"
community immunity,"the protection people who aren’t vaccinated get when most other people in their community are vaccinated"
comparable,"like, similar, almost the same as"
compensate,"make up, pay, reward"
competent,"skillful, able, well trained"
complete,"finish, fill out, end"
completion,"end, finish"
complimentary,free
comply,"do, follow, give in, obey"
component,"part, section"
comprehensive,"complete, covers everything important, thorough, all"
comprise,"be made up of, include"
compulsion,"want, urge, desire"
conceive,"imagine, think up"
concentration,strength
concerning,"about, for, on"
chronic,"constant, never ending, does not go away, long term, lasting a long time"
circulation,"blood flow, flow of blood through the body"
circumstance,"event, situation, facts"
clade,a group of animals that can all get the same disease
client,"you, name of person"
clinical,"work, studies, a medical setting that involves patients"
clinical,"medical, work or studies in a medical setting that involve patients"
clinically ill,"sick, diseased"
close proximity,"near, near by, close, close to"
coagulate,"clot, set, clump together"
coerce,"force, make, press"
central nervous system,brain and spinal cord
cerebral hemorrhage,stroke
cerebrovascular disease,stroke
cervix,the lower part of the uterus
cessation,"stopping, quitting, ending"
characteristic,"mark, trait, feature"
characterize,"tell about, describe, define"
chronic,"long term, long-lasting"
chronic disease,"long-lasting disease, disease that lasts for years"
chronic health condition,"constant health problem, something that effects your health for a long period of time"
cancer,cancer
capacity,"size, amount something holds, ability, space, number open"
carcinogen,cancer-causing
cardiologist,heart doctor
cardiology,medical department that treats heart problems
cardiovascular,having to do with the heart and blood vessels
caries,"cavities, tooth decay"
carrier,"someone who is sick and can get other people sick; animal that is sick and can make other animals sick"
cartilage,the smooth covering on the end of bones
case fatality ratio,how many people die from a disease
cataracts,"a clouding of the eye that makes it hard for people to see, cloudy eyesight, cloudy vision"
catastrophe,"disaster, tragedy"
causal association,"causes, leads to, can cause causes your body to react"
cauterize,"to burn a piece of the skin or tissue (usually to stop bleeding)"
cease,"end, stop, quit"
censure,"blame, punish"
"Centers for Disease Control and Prevention",CDC
bursitis,"swollen, painful joints, disease that causes joint pain"
by means of,"by, using, with"
by which time,by then
bacteria,germs
behavior modification,"developing new habits, changing what you do, stopping bad habits"
beneficial,"good, good for, helpful, useful"
beneficiary,"someone who receives, person who comes out ahead"
benefit,"help, aid"
benign,"not a danger, not harmful, easily treated"
benign,not cancer
bereavement,"grief after death, loss, sadness, mourning"
beverage,"drink, fluids, liquids"
biannual,"every two years, twice a year, two times every year"
bilateral,"with both sides considered, two-sided, when both sides get a say, even, balanced"
bioterrorism,spreading virus or disease to cause fear or hurt
BMI,a measure of body fat based on height and weight
biota,plants and animals
bona fide,"real, true"
bone density test,"bone strength test, a test of how solid and how strong your bones are"
bone marrow,"area (or the space) inside your bones where blood cells are made"
booster shots,"a shot you get months or years after your vaccine shot, to keep you safe from that disease"
brachial neuritis,swelling of the nerves in your arms
breakthrough infection,"getting a disease even though you’ve been vaccinated against it"
bronchial tubes,the tubes letting air in and out of the lungs
bronchodilator,"medicine, drug that helps you breathe easier"
asthma,"disease, breathing disease; long term disease of swelling of the airways of the lungs; lung disease where you have trouble breathing; disease of lungs or respiratory system"
asymptomatic infection,"when you’re sick, but you don’t feel bad, no symptoms"
asymptomatic,someone who is sick but does not feel or look sick
at the present time,"now, right now"
atherosclerosis,"hardening of the arteries, clogged blood vessels"
attack,"violent start, suddenly overcome by a disease, begin to harm"
attempt,"try, effort"
attenuated vaccine,"vaccine, vaccine that has a weakened form of the virus in it"
attire,"clothes, clothing, to dress, wear"
authentic,"original, real, true, actual"
authorize,"allow, approve, give the power to"
autism,"brain disorder, illness that makes it hard for someone to talk to other people"
autoimmune disease,disease that makes your body attack itself
autonomous,"free, by itself, independent"
avail,"help, aid"
available,"on hand, at hand, ready, near-by, handy"
avian flu,bird flu
avoid,do not
antigen,"germ, bacteria, virus, poison, something in your body that your body tries to fight off, something that helps your body fight disease"
anti-inflammatory,"a drug to reduce swelling, something that reduces swelling and pain, aspirin, cortisone, a drug that brings down the swelling"
